Problem:    Caso1_O1_MinMax
Rows:       2141
Columns:    1945 (1872 integer, 0 binary)
Non-zeros:  10441
Status:     INTEGER NON-OPTIMAL
Objective:  Z = 4 (MINimum)

   No.   Row name        Activity     Lower bound   Upper bound
------ ------------    ------------- ------------- -------------
     1 Z                           4                             
     2 res1[1]                    10                          10 
     3 res1[2]                    18                          18 
     4 res1[3]                     5                           5 
     5 res1[4]                     7                           8 
     6 res1[5]                     8                           8 
     7 res1[6]                     0                          -0 
     8 res1[7]                    24                          24 
     9 res1[8]                    12                          12 
    10 res1[9]                    10                          10 
    11 res1[10]                   19                          19 
    12 res1[11]                   10                          10 
    13 res1[12]                   14                          14 
    14 res1[13]                    1                           1 
    15 res1[14]                    1                           1 
    16 res1[15]                    3                           3 
    17 res1[16]                    9                           9 
    18 res1[17]                    3                           3 
    19 res1[18]                    2                           2 
    20 res1[19]                    2                           2 
    21 res1[20]                    8                           8 
    22 res1[21]                   14                          15 
    23 res1[22]                    0                          25 
    24 res1[23]                    0                           9 
    25 res1[24]                    5                           5 
    26 res1[25]                    0                           6 
    27 res1[26]                    2                           2 
    28 res2[1]                     1                          10 
    29 res2[2]                     6                          18 
    30 res2[3]                     0                           5 
    31 res2[4]                     0                           8 
    32 res2[5]                     0                           8 
    33 res2[6]                     0                          -0 
    34 res2[7]                    18                          24 
    35 res2[8]                     6                          12 
    36 res2[9]                     1                          10 
    37 res2[10]                   12                          19 
    38 res2[11]                    6                          10 
    39 res2[12]                    4                          14 
    40 res2[13]                    1                           1 
    41 res2[14]                    0                           1 
    42 res2[15]                    0                           3 
    43 res2[16]                    2                           8 
    44 res2[17]                    3                           3 
    45 res2[18]                    0                           2 
    46 res2[19]                    0                           2 
    47 res2[20]                    0                           8 
    48 res2[21]                   12                          14 
    49 res2[22]                    0                          25 
    50 res2[23]                    0                           9 
    51 res2[24]                    3                           5 
    52 res2[25]                    0                           6 
    53 res2[26]                    1                           2 
    54 res3[1,1,1]                 5                       10000 
    55 res3[1,1,2]                 0                          -0 
    56 res3[1,1,3]                 0                          -0 
    57 res3[1,1,4]                 0                          -0 
    58 res3[1,1,5]                 0                          -0 
    59 res3[1,1,6]                 0                          -0 
    60 res3[1,1,7]                 0                          -0 
    61 res3[1,1,8]                 0                          -0 
    62 res3[1,1,9]                 0                          -0 
    63 res3[1,2,1]                 2                       10000 
    64 res3[1,2,2]                 0                          -0 
    65 res3[1,2,3]                 0                          -0 
    66 res3[1,2,4]                 0                          -0 
    67 res3[1,2,5]                 0                          -0 
    68 res3[1,2,6]                 0                          -0 
    69 res3[1,2,7]                 0                          -0 
    70 res3[1,2,8]                 0                          -0 
    71 res3[1,2,9]                 0                          -0 
    72 res3[1,3,1]                 0                       10000 
    73 res3[1,3,2]                 0                          -0 
    74 res3[1,3,3]                 0                          -0 
    75 res3[1,3,4]                 0                          -0 
    76 res3[1,3,5]                 0                          -0 
    77 res3[1,3,6]                 0                          -0 
    78 res3[1,3,7]                 0                          -0 
    79 res3[1,3,8]                 0                          -0 
    80 res3[1,3,9]                 0                          -0 
    81 res3[1,4,1]                 2                       10000 
    82 res3[1,4,2]                 0                          -0 
    83 res3[1,4,3]                 0                          -0 
    84 res3[1,4,4]                 0                          -0 
    85 res3[1,4,5]                 0                          -0 
    86 res3[1,4,6]                 0                          -0 
    87 res3[1,4,7]                 0                          -0 
    88 res3[1,4,8]                 0                          -0 
    89 res3[1,4,9]                 0                          -0 
    90 res3[1,5,1]                 1                       10000 
    91 res3[1,5,2]                 0                          -0 
    92 res3[1,5,3]                 0                          -0 
    93 res3[1,5,4]                 0                          -0 
    94 res3[1,5,5]                 0                          -0 
    95 res3[1,5,6]                 0                          -0 
    96 res3[1,5,7]                 0                          -0 
    97 res3[1,5,8]                 0                          -0 
    98 res3[1,5,9]                 0                          -0 
    99 res3[1,6,1]                 0                       10000 
   100 res3[1,6,2]                 0                          -0 
   101 res3[1,6,3]                 0                          -0 
   102 res3[1,6,4]                 0                          -0 
   103 res3[1,6,5]                 0                          -0 
   104 res3[1,6,6]                 0                          -0 
   105 res3[1,6,7]                 0                          -0 
   106 res3[1,6,8]                 0                          -0 
   107 res3[1,6,9]                 0                          -0 
   108 res3[1,7,1]                 0                       10000 
   109 res3[1,7,2]                 0                          -0 
   110 res3[1,7,3]                 0                          -0 
   111 res3[1,7,4]                 0                          -0 
   112 res3[1,7,5]                 0                          -0 
   113 res3[1,7,6]                 0                          -0 
   114 res3[1,7,7]                 0                          -0 
   115 res3[1,7,8]                 0                          -0 
   116 res3[1,7,9]                 0                          -0 
   117 res3[1,8,1]                 0                       10000 
   118 res3[1,8,2]                 0                          -0 
   119 res3[1,8,3]                 0                          -0 
   120 res3[1,8,4]                 0                          -0 
   121 res3[1,8,5]                 0                          -0 
   122 res3[1,8,6]                 0                          -0 
   123 res3[1,8,7]                 0                          -0 
   124 res3[1,8,8]                 0                          -0 
   125 res3[1,8,9]                 0                          -0 
   126 res3[2,1,1]                 0                          -0 
   127 res3[2,1,2]                 7                       10000 
   128 res3[2,1,3]                 0                          -0 
   129 res3[2,1,4]                 0                          -0 
   130 res3[2,1,5]                 0                          -0 
   131 res3[2,1,6]                 0                          -0 
   132 res3[2,1,7]                 0                          -0 
   133 res3[2,1,8]                 0                          -0 
   134 res3[2,1,9]                 0                          -0 
   135 res3[2,2,1]                 0                          -0 
   136 res3[2,2,2]                 2                       10000 
   137 res3[2,2,3]                 0                          -0 
   138 res3[2,2,4]                 0                          -0 
   139 res3[2,2,5]                 0                          -0 
   140 res3[2,2,6]                 0                          -0 
   141 res3[2,2,7]                 0                          -0 
   142 res3[2,2,8]                 0                          -0 
   143 res3[2,2,9]                 0                          -0 
   144 res3[2,3,1]                 0                          -0 
   145 res3[2,3,2]                 2                       10000 
   146 res3[2,3,3]                 0                          -0 
   147 res3[2,3,4]                 0                          -0 
   148 res3[2,3,5]                 0                          -0 
   149 res3[2,3,6]                 0                          -0 
   150 res3[2,3,7]                 0                          -0 
   151 res3[2,3,8]                 0                          -0 
   152 res3[2,3,9]                 0                          -0 
   153 res3[2,4,1]                 0                          -0 
   154 res3[2,4,2]                 1                       10000 
   155 res3[2,4,3]                 0                          -0 
   156 res3[2,4,4]                 0                          -0 
   157 res3[2,4,5]                 0                          -0 
   158 res3[2,4,6]                 0                          -0 
   159 res3[2,4,7]                 0                          -0 
   160 res3[2,4,8]                 0                          -0 
   161 res3[2,4,9]                 0                          -0 
   162 res3[2,5,1]                 0                          -0 
   163 res3[2,5,2]                 2                       10000 
   164 res3[2,5,3]                 0                          -0 
   165 res3[2,5,4]                 0                          -0 
   166 res3[2,5,5]                 0                          -0 
   167 res3[2,5,6]                 0                          -0 
   168 res3[2,5,7]                 0                          -0 
   169 res3[2,5,8]                 0                          -0 
   170 res3[2,5,9]                 0                          -0 
   171 res3[2,6,1]                 0                          -0 
   172 res3[2,6,2]                 3                       10000 
   173 res3[2,6,3]                 0                          -0 
   174 res3[2,6,4]                 0                          -0 
   175 res3[2,6,5]                 0                          -0 
   176 res3[2,6,6]                 0                          -0 
   177 res3[2,6,7]                 0                          -0 
   178 res3[2,6,8]                 0                          -0 
   179 res3[2,6,9]                 0                          -0 
   180 res3[2,7,1]                 0                          -0 
   181 res3[2,7,2]                 0                       10000 
   182 res3[2,7,3]                 0                          -0 
   183 res3[2,7,4]                 0                          -0 
   184 res3[2,7,5]                 0                          -0 
   185 res3[2,7,6]                 0                          -0 
   186 res3[2,7,7]                 0                          -0 
   187 res3[2,7,8]                 0                          -0 
   188 res3[2,7,9]                 0                          -0 
   189 res3[2,8,1]                 0                          -0 
   190 res3[2,8,2]                 1                       10000 
   191 res3[2,8,3]                 0                          -0 
   192 res3[2,8,4]                 0                          -0 
   193 res3[2,8,5]                 0                          -0 
   194 res3[2,8,6]                 0                          -0 
   195 res3[2,8,7]                 0                          -0 
   196 res3[2,8,8]                 0                          -0 
   197 res3[2,8,9]                 0                          -0 
   198 res3[3,1,1]                 0                          -0 
   199 res3[3,1,2]                 0                          -0 
   200 res3[3,1,3]                 5                       10000 
   201 res3[3,1,4]                 0                          -0 
   202 res3[3,1,5]                 0                          -0 
   203 res3[3,1,6]                 0                          -0 
   204 res3[3,1,7]                 0                          -0 
   205 res3[3,1,8]                 0                          -0 
   206 res3[3,1,9]                 0                          -0 
   207 res3[3,2,1]                 0                          -0 
   208 res3[3,2,2]                 0                          -0 
   209 res3[3,2,3]                 0                       10000 
   210 res3[3,2,4]                 0                          -0 
   211 res3[3,2,5]                 0                          -0 
   212 res3[3,2,6]                 0                          -0 
   213 res3[3,2,7]                 0                          -0 
   214 res3[3,2,8]                 0                          -0 
   215 res3[3,2,9]                 0                          -0 
   216 res3[3,3,1]                 0                          -0 
   217 res3[3,3,2]                 0                          -0 
   218 res3[3,3,3]                 0                       10000 
   219 res3[3,3,4]                 0                          -0 
   220 res3[3,3,5]                 0                          -0 
   221 res3[3,3,6]                 0                          -0 
   222 res3[3,3,7]                 0                          -0 
   223 res3[3,3,8]                 0                          -0 
   224 res3[3,3,9]                 0                          -0 
   225 res3[3,4,1]                 0                          -0 
   226 res3[3,4,2]                 0                          -0 
   227 res3[3,4,3]                 0                       10000 
   228 res3[3,4,4]                 0                          -0 
   229 res3[3,4,5]                 0                          -0 
   230 res3[3,4,6]                 0                          -0 
   231 res3[3,4,7]                 0                          -0 
   232 res3[3,4,8]                 0                          -0 
   233 res3[3,4,9]                 0                          -0 
   234 res3[3,5,1]                 0                          -0 
   235 res3[3,5,2]                 0                          -0 
   236 res3[3,5,3]                 0                       10000 
   237 res3[3,5,4]                 0                          -0 
   238 res3[3,5,5]                 0                          -0 
   239 res3[3,5,6]                 0                          -0 
   240 res3[3,5,7]                 0                          -0 
   241 res3[3,5,8]                 0                          -0 
   242 res3[3,5,9]                 0                          -0 
   243 res3[3,6,1]                 0                          -0 
   244 res3[3,6,2]                 0                          -0 
   245 res3[3,6,3]                 0                       10000 
   246 res3[3,6,4]                 0                          -0 
   247 res3[3,6,5]                 0                          -0 
   248 res3[3,6,6]                 0                          -0 
   249 res3[3,6,7]                 0                          -0 
   250 res3[3,6,8]                 0                          -0 
   251 res3[3,6,9]                 0                          -0 
   252 res3[3,7,1]                 0                          -0 
   253 res3[3,7,2]                 0                          -0 
   254 res3[3,7,3]                 0                       10000 
   255 res3[3,7,4]                 0                          -0 
   256 res3[3,7,5]                 0                          -0 
   257 res3[3,7,6]                 0                          -0 
   258 res3[3,7,7]                 0                          -0 
   259 res3[3,7,8]                 0                          -0 
   260 res3[3,7,9]                 0                          -0 
   261 res3[3,8,1]                 0                          -0 
   262 res3[3,8,2]                 0                          -0 
   263 res3[3,8,3]                 0                       10000 
   264 res3[3,8,4]                 0                          -0 
   265 res3[3,8,5]                 0                          -0 
   266 res3[3,8,6]                 0                          -0 
   267 res3[3,8,7]                 0                          -0 
   268 res3[3,8,8]                 0                          -0 
   269 res3[3,8,9]                 0                          -0 
   270 res3[4,1,1]                 0                          -0 
   271 res3[4,1,2]                 0                          -0 
   272 res3[4,1,3]                 4                       10000 
   273 res3[4,1,4]                 0                          -0 
   274 res3[4,1,5]                 0                          -0 
   275 res3[4,1,6]                 0                          -0 
   276 res3[4,1,7]                 0                          -0 
   277 res3[4,1,8]                 0                          -0 
   278 res3[4,1,9]                 0                          -0 
   279 res3[4,2,1]                 0                          -0 
   280 res3[4,2,2]                 0                          -0 
   281 res3[4,2,3]                 3                       10000 
   282 res3[4,2,4]                 0                          -0 
   283 res3[4,2,5]                 0                          -0 
   284 res3[4,2,6]                 0                          -0 
   285 res3[4,2,7]                 0                          -0 
   286 res3[4,2,8]                 0                          -0 
   287 res3[4,2,9]                 0                          -0 
   288 res3[4,3,1]                 0                          -0 
   289 res3[4,3,2]                 0                          -0 
   290 res3[4,3,3]                 0                       10000 
   291 res3[4,3,4]                 0                          -0 
   292 res3[4,3,5]                 0                          -0 
   293 res3[4,3,6]                 0                          -0 
   294 res3[4,3,7]                 0                          -0 
   295 res3[4,3,8]                 0                          -0 
   296 res3[4,3,9]                 0                          -0 
   297 res3[4,4,1]                 0                          -0 
   298 res3[4,4,2]                 0                          -0 
   299 res3[4,4,3]                 0                       10000 
   300 res3[4,4,4]                 0                          -0 
   301 res3[4,4,5]                 0                          -0 
   302 res3[4,4,6]                 0                          -0 
   303 res3[4,4,7]                 0                          -0 
   304 res3[4,4,8]                 0                          -0 
   305 res3[4,4,9]                 0                          -0 
   306 res3[4,5,1]                 0                          -0 
   307 res3[4,5,2]                 0                          -0 
   308 res3[4,5,3]                 0                       10000 
   309 res3[4,5,4]                 0                          -0 
   310 res3[4,5,5]                 0                          -0 
   311 res3[4,5,6]                 0                          -0 
   312 res3[4,5,7]                 0                          -0 
   313 res3[4,5,8]                 0                          -0 
   314 res3[4,5,9]                 0                          -0 
   315 res3[4,6,1]                 0                          -0 
   316 res3[4,6,2]                 0                          -0 
   317 res3[4,6,3]                 0                       10000 
   318 res3[4,6,4]                 0                          -0 
   319 res3[4,6,5]                 0                          -0 
   320 res3[4,6,6]                 0                          -0 
   321 res3[4,6,7]                 0                          -0 
   322 res3[4,6,8]                 0                          -0 
   323 res3[4,6,9]                 0                          -0 
   324 res3[4,7,1]                 0                          -0 
   325 res3[4,7,2]                 0                          -0 
   326 res3[4,7,3]                 0                       10000 
   327 res3[4,7,4]                 0                          -0 
   328 res3[4,7,5]                 0                          -0 
   329 res3[4,7,6]                 0                          -0 
   330 res3[4,7,7]                 0                          -0 
   331 res3[4,7,8]                 0                          -0 
   332 res3[4,7,9]                 0                          -0 
   333 res3[4,8,1]                 0                          -0 
   334 res3[4,8,2]                 0                          -0 
   335 res3[4,8,3]                 0                       10000 
   336 res3[4,8,4]                 0                          -0 
   337 res3[4,8,5]                 0                          -0 
   338 res3[4,8,6]                 0                          -0 
   339 res3[4,8,7]                 0                          -0 
   340 res3[4,8,8]                 0                          -0 
   341 res3[4,8,9]                 0                          -0 
   342 res3[5,1,1]                 0                          -0 
   343 res3[5,1,2]                 0                          -0 
   344 res3[5,1,3]                 2                       10000 
   345 res3[5,1,4]                 0                          -0 
   346 res3[5,1,5]                 0                          -0 
   347 res3[5,1,6]                 0                          -0 
   348 res3[5,1,7]                 0                          -0 
   349 res3[5,1,8]                 0                          -0 
   350 res3[5,1,9]                 0                          -0 
   351 res3[5,2,1]                 0                          -0 
   352 res3[5,2,2]                 0                          -0 
   353 res3[5,2,3]                 0                       10000 
   354 res3[5,2,4]                 0                          -0 
   355 res3[5,2,5]                 0                          -0 
   356 res3[5,2,6]                 0                          -0 
   357 res3[5,2,7]                 0                          -0 
   358 res3[5,2,8]                 0                          -0 
   359 res3[5,2,9]                 0                          -0 
   360 res3[5,3,1]                 0                          -0 
   361 res3[5,3,2]                 0                          -0 
   362 res3[5,3,3]                 4                       10000 
   363 res3[5,3,4]                 0                          -0 
   364 res3[5,3,5]                 0                          -0 
   365 res3[5,3,6]                 0                          -0 
   366 res3[5,3,7]                 0                          -0 
   367 res3[5,3,8]                 0                          -0 
   368 res3[5,3,9]                 0                          -0 
   369 res3[5,4,1]                 0                          -0 
   370 res3[5,4,2]                 0                          -0 
   371 res3[5,4,3]                 2                       10000 
   372 res3[5,4,4]                 0                          -0 
   373 res3[5,4,5]                 0                          -0 
   374 res3[5,4,6]                 0                          -0 
   375 res3[5,4,7]                 0                          -0 
   376 res3[5,4,8]                 0                          -0 
   377 res3[5,4,9]                 0                          -0 
   378 res3[5,5,1]                 0                          -0 
   379 res3[5,5,2]                 0                          -0 
   380 res3[5,5,3]                 0                       10000 
   381 res3[5,5,4]                 0                          -0 
   382 res3[5,5,5]                 0                          -0 
   383 res3[5,5,6]                 0                          -0 
   384 res3[5,5,7]                 0                          -0 
   385 res3[5,5,8]                 0                          -0 
