a,b,c
1,1,4000
1,2,3000
1,3,5000
1,4,5000
1,5,3500
1,6,4500
1,7,5000
1,8,3400
1,9,8000
1,10,29609
1,11,46693
1,12,129425
1,13,52128
1,14,52128
1,15,8000
1,16,122767
1,17,129789
1,18,53900
2,1,3000
2,2,4000
2,3,5000
2,4,3500
2,5,3000
2,6,4000
2,7,4500
2,8,5000
2,9,8000
2,10,29609
2,11,46693
2,12,129425
2,13,52128
2,14,52128
2,15,8000
2,16,122767
2,17,129789
2,18,53900
3,1,51188
3,2,52000
3,3,50000
3,4,51500
3,5,51188
3,6,52000
3,7,51188
3,8,50000
3,9,53000
3,10,22218
3,11,8365
3,12,121930
3,13,3000
3,14,3000
3,15,55000
3,16,131200
3,17,126605
3,18,81343
4,1,128848
4,2,129000
4,3,128500
4,4,128000
4,5,128200
4,6,128450
4,7,128000
4,8,128848
4,9,132000
4,10,134388
4,11,122400
4,12,13000
4,13,126605
4,14,126605
4,15,130000
4,16,11317
4,17,4000
4,18,77927
5,1,52711
5,2,52700
5,3,52340
5,4,52800
5,5,52300
5,6,52500
5,7,52300
5,8,52711
5,9,55000
5,10,70000
5,11,74500
5,12,82500
5,13,82400
5,14,82400
5,15,55000
5,16,67800
5,17,77927
5,18,3000
6,1,29609
6,2,29500
6,3,29600
6,4,29700
6,5,29750
6,6,29609
6,7,29800
6,8,29670
6,9,33000
6,10,3000
6,11,31000
6,12,130442
6,13,22200
6,14,22200
6,15,33000
6,16,118222
6,17,137713
6,18,69567
7,1,121827
7,2,122000
7,3,121500
7,4,121340
7,5,121590
7,6,121827
7,7,121459
7,8,121590
7,9,124000
7,10,117125
7,11,120700
7,12,26000
7,13,131200
7,14,131200
7,15,125000
7,16,4000
7,17,11317
7,18,67798
