a,b,c
1,1,0
2,1,0
3,1,0
4,1,0
5,1,0
6,1,0
7,1,0
8,1,0
9,1,0
10,1,0
11,1,0
12,1,0
13,1,0
14,1,0
15,1,0
16,1,0
17,1,0
18,1,1
19,1,0
20,1,0
21,1,0
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
1,2,10
2,2,18
3,2,4
4,2,8
5,2,8
6,2,0
7,2,20
8,2,8
9,2,9
10,2,16
11,2,10
12,2,10
13,2,1
14,2,1
15,2,3
16,2,7
17,2,2
18,2,2
19,2,2
20,2,8
21,2,14
22,2,22
23,2,9
24,2,4
25,2,5
26,2,2
1,3,0
2,3,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,2
17,3,0
18,3,0
19,3,0
20,3,0
21,3,0
22,3,0
23,3,0
24,3,0
25,3,0
26,3,0
1,4,0
2,4,0
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,1
17,4,0
18,4,0
19,4,0
20,4,0
21,4,1
22,4,0
23,4,0
24,4,0
25,4,0
26,4,0
1,5,0
2,5,1
3,5,0
4,5,24
5,5,1
6,5,3
7,5,0
8,5,0
9,5,30
10,5,4
11,5,10
12,5,0
13,5,0
14,5,0
15,5,0
16,5,1
17,5,0
18,5,1
19,5,1
20,5,1
21,5,2
22,5,3
23,5,6
24,5,0
25,5,0
26,5,0
1,6,1
2,6,1
3,6,0
4,6,0
5,6,1
6,6,0
7,6,1
8,6,1
9,6,0
10,6,3
11,6,0
12,6,0
13,6,0
14,6,0
15,6,0
16,6,2
17,6,0
18,6,0
19,6,0
20,6,1
21,6,1
22,6,2
23,6,3
24,6,0
25,6,0
26,6,1
1,7,0
2,7,0
3,7,1
4,7,0
5,7,0
6,7,0
7,7,4
8,7,4
9,7,1
10,7,3
11,7,0
12,7,4
13,7,0
14,7,0
15,7,0
16,7,1
17,7,1
18,7,0
19,7,0
20,7,0
21,7,0
22,7,3
23,7,0
24,7,1
25,7,1
26,7,0
