materias,cred
electricidad,3
inferencia,3
factores,3
maquinas,3
sistemas de costeo,3
optimizacion,3
simulacion,3
gestion de calidad,3
procesos,3
principios de economia,3
diseño salarial,3
ingepro,4
ingeco,4
epistemologia,2
fe y compromiso,2
logistica de mercados,3
logistica,3
produccion,4
proyecto social,2
etica en la ing,2
admon sistemas de info,3
preparacion evaluacion de proyectos,2
gerencia,3
gestion de la cadena,3
distribucion y transporte,3 
proyectos de mercadeo,3
optimizacion de operaciones,3
diseño de experimentos,3
estocasticos,3
teoria de juegos,3
practica,6
trabajog,4
proyectog,2
