x,y,z
1,1,200000
1,2,170000
1,3,0
1,4,0
1,5,0
1,6,0
1,7,0
1,8,0
2,1,0
2,2,0
2,3,0
2,4,400000
2,5,0
2,6,0
2,7,0
2,8,0
3,1,0
3,2,0
3,3,0
3,4,600000
3,5,0
3,6,0
3,7,0
3,8,0
4,1,0
4,2,0
4,3,350000
4,4,0
4,5,0
4,6,0
4,7,0
4,8,0
5,1,0
5,2,0
5,3,300000
5,4,0
5,5,0
5,6,0
5,7,0
5,8,0
6,1,0
6,2,0
6,3,0
6,4,150000
6,5,0
6,6,0
6,7,0
6,8,0
7,1,0
7,2,0
7,3,0
7,4,200000
7,5,0
7,6,0
7,7,0
7,8,0
8,1,0
8,2,0
8,3,0
8,4,550000
8,5,0
8,6,0
8,7,0
8,8,0
9,1,0
9,2,0
9,3,0
9,4,0
9,5,80000
9,6,70000
9,7,100000
9,8,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,100000
10,6,90000
10,7,120000
10,8,0
11,1,0
11,2,0
11,3,0
11,4,0
11,5,100000
11,6,90000
11,7,120000
11,8,0
12,1,0
12,2,0
12,3,0
12,4,0
12,5,0
12,6,0
12,7,0
12,8,50000
13,1,0
13,2,0
13,3,0
13,4,0
13,5,0
13,6,0
13,7,0
13,8,70000
14,1,0
14,2,0
14,3,0
14,4,0
14,5,0
14,6,0
14,7,0
14,8,80000
