a,b,c
Disin,Disin,0
Disin,Quimi,90.64624474
Disin,Phar,105.2516049
Disin,Alc,103.5715
Disin,Occ,105.0553846
Disin,Car,107.6884491
Disin,Lib,136.7555604
Disin,Cal,74.01625
Disin,Fab,138.0045345
Disin,Mul,77.93925
Disin,Sab,81.18648369
Disin,Boy,37.40375
Disin,Med,90.70424474
Disin,Yum,106.2901346
Disin,Cart,85.32825
Disin,Iba,49.3165
Disin,CV1,90.2145
Disin,CV2,67.3401748
Disin,CV3,81.95912369
Disin,Oli1,110.0933104
Disin,Oli2,84.99109082
Disin,Oli3,67.45116007
Disin,Disf,103.02875
Disin,Audi,2.91975
Disin,Caf1,88.32420965
Disin,Caf2,39.90702266
Disin,Caf3,85.11952886
Disin,Col1,89.09074474
Disin,Col2,5.66375
Disin,Col3,73.83475
Disin,Comp1,2.0675
Disin,Comp2,111.2548846
Disin,Comp3,3.54075
Disin,Sura1,79.42749474
Disin,Sura2,79.781
Disin,San1,28.74375
Disin,San2,85.9509402
Disin,SV1,121.6896306
Disin,SV2,141.0043104
Disin,SV3,38.23249727
Disin,San_F,94.84973893
Disin,San_J,106.1136049
Disin,JMH,81.72578446
Disin,Duit,48.9455
Disin,Nar,117.6857845
Disin,Ller,48.59
Disin,Urib,90.26524474
Disin,Mede,1.6905
Disin,Padu,108.162
Quimi,Disin,90.68814891
Quimi,Quimi,0
Quimi,Phar,84.47276932
Quimi,Alc,63.3014031
Quimi,Occ,99.5246423
Quimi,Car,119.54225
Quimi,Lib,111.7271027
Quimi,Cal,47.1125
Quimi,Fab,88.64314451
Quimi,Mul,132.6305464
Quimi,Sab,29.79623624
Quimi,Boy,73.57896993
Quimi,Med,2.68475
Quimi,Yum,100.7593923
Quimi,Cart,58.46825
Quimi,Iba,104.62425
Quimi,CV1,126.8387199
Quimi,CV2,74.91521465
Quimi,CV3,83.84959072
Quimi,Oli1,138.3133527
Quimi,Oli2,103.8055
Quimi,Oli3,60.85703784
Quimi,Disf,62.5599031
Quimi,Audi,93.60789891
Quimi,Caf1,112.7994031
Quimi,Caf2,80.05786095
Quimi,Caf3,73.89126485
Quimi,Col1,1.94825
Quimi,Col2,96.35189891
Quimi,Col3,46.9615
Quimi,Comp1,92.75564891
Quimi,Comp2,105.7241423
Quimi,Comp3,94.22889891
Quimi,Sura1,11.1895
Quimi,Sura2,51.928
Quimi,San1,119.4318989
Quimi,San2,100.0205504
Quimi,SV1,70.29938319
Quimi,SV2,154.4633741
Quimi,SV3,52.30210748
Quimi,San_F,55.4715
Quimi,San_J,83.42401932
Quimi,JMH,95.79539467
Quimi,Duit,85.56996993
Quimi,Nar,67.89539451
Quimi,Ller,104.04325
Quimi,Urib,0.48825
Quimi,Mede,92.37864891
Quimi,Padu,102.3200464
Phar,Disin,103.9000187
Phar,Quimi,84.28601932
Phar,Phar,0
Phar,Alc,87.99494994
Phar,Occ,35.4735
Phar,Car,128.5518879
Phar,Lib,136.4206495
Phar,Cal,97.09575
Phar,Fab,82.5665
Phar,Mul,66.8
Phar,Sab,54.48978308
Phar,Boy,98.27251677
Phar,Med,86.97076932
Phar,Yum,36.31775
Phar,Cart,77.4425
Phar,Iba,113.3250405
Phar,CV1,151.5322668
Phar,CV2,93.79549472
Phar,CV3,73.03744193
Phar,Oli1,130.9567493
Phar,Oli2,105.8545296
Phar,Oli3,85.55058468
Phar,Disf,87.25344994
Phar,Audi,100.9740187
Phar,Caf1,109.1876485
Phar,Caf2,60.77046148
Phar,Caf3,64.03791822
Phar,Col1,86.23426932
Phar,Col2,107.6690187
Phar,Col3,96.94475
Phar,Comp1,102.4812687
Phar,Comp2,28.6895
Phar,Comp3,103.3322687
Phar,Sura1,95.47551932
Phar,Sura2,83.84175
Phar,San1,108.0124509
Phar,San2,63.3225
Phar,SV1,94.99293003
Phar,SV2,161.8677493
Phar,SV3,110.8023507
Phar,San_F,108.0524313
Phar,San_J,0.862
Phar,JMH,69.95675
Phar,Duit,110.2635168
Phar,Nar,61.81875
Phar,Ller,112.5985405
Phar,Urib,84.77426932
Phar,Mede,102.6457687
Phar,Padu,37.50275
Alc,Disin,103.49825
Alc,Quimi,63.1529031
Alc,Phar,88.03319994
Alc,Alc,0
Alc,Occ,103.0850729
Alc,Car,149.0666894
Alc,Lib,115.2875333
Alc,Cal,83.23778657
Alc,Fab,92.20357513
Alc,Mul,136.190977
Alc,Sab,33.35666686
Alc,Boy,71.03075
Alc,Med,65.8376531
Alc,Yum,104.3198229
Alc,Cart,103.9167866
Alc,Iba,127.66
Alc,CV1,120.90425
Alc,CV2,93.14378047
Alc,CV3,73.09308732
Alc,Oli1,141.8737833
Alc,Oli2,126.3693311
Alc,Oli3,64.41746846
Alc,Disf,0.593
Alc,Audi,104.70525
Alc,Caf1,50.0885
Alc,Caf2,81.28526297
Alc,Caf3,70.27338088
Alc,Col1,65.1011531
Alc,Col2,97.7625
Alc,Col3,83.73278657
Alc,Comp1,104.00375
Alc,Comp2,109.2845729
Alc,Comp3,104.0035
Alc,Sura1,74.3424031
Alc,Sura2,97.37653657
Alc,San1,128.5272524
Alc,San2,108.0597626
Alc,SV1,73.85981381
Alc,SV2,158.0238048
Alc,SV3,115.4550106
Alc,San_F,86.91931505
Alc,San_J,86.98444994
Alc,JMH,107.6308251
Alc,Duit,79.63525
Alc,Nar,71.45582513
Alc,Ller,127.07825
Alc,Urib,63.6411531
Alc,Mede,104.84975
Alc,Padu,105.880477
