x,y,z
Camion_A,Comprimidos,35
Camion_A,Tabletas,35
Camion_A,Capsulas,35
Camion_A,Analgesicos,25
Camion_A,Antibioticos,25
Camion_A,Anestesicos,25
Camion_A,Excipientes,25
Camion_A,Medi_biologico,0
Camion_A,Medi_Vencido,0
Camion_B,Comprimidos,0
Camion_B,Tabletas,0
Camion_B,Capsulas,0
Camion_B,Analgesicos,0
Camion_B,Antibioticos,0
Camion_B,Anestesicos,0
Camion_B,Excipientes,0
Camion_B,Medi_biologico,55
Camion_B,Medi_Vencido,0
Camion_C,Comprimidos,0
Camion_C,Tabletas,0
Camion_C,Capsulas,0
Camion_C,Analgesicos,0
Camion_C,Antibioticos,0
Camion_C,Anestesicos,0
Camion_C,Excipientes,0
Camion_C,Medi_biologico,0
Camion_C,Medi_Vencido,20
