x,y,z
Cartagena,Cartagena,0
Cartagena,Buenaventura,1106.367
Cartagena,Disinter,1027.388
Cartagena,Quimifast,651.853
Cartagena,Alcampo,670.756
Cartagena,Reprefarco,1061.967
Cartagena,Aeropuerto,1026.84
Cartagena,Yumbo,1057.04
Cartagena,Cartago,882.81
Cartagena,Ibague,1020.778
Cartagena,Cafam,754.954
Cartagena,Disfarma,673.061
Cartagena,Cruz_Verde,1141.879
Cartagena,Salud_Vida,370.646
Cartagena,Audifarma,1029.647
Cartagena,San_Francisco,870.823
Cartagena,San_Jose,1188.198
Cartagena,Envigado,651.604
Cartagena,Punto_Azul,1018.681
Buenaventura,Cartagena,1104.405
Buenaventura,Buenaventura,0
Buenaventura,Disinter,596.586
Buenaventura,Quimifast,455.149
Buenaventura,Alcampo,810.438
Buenaventura,Reprefarco,117.431
Buenaventura,Aeropuerto,598.216
Buenaventura,Yumbo,121.536
Buenaventura,Cartago,226.386
Buenaventura,Ibague,536.903
Buenaventura,Cafam,1008.43
Buenaventura,Disfarma,808.428
Buenaventura,Cruz_Verde,938.328
Buenaventura,Salud_Vida,1173.81
Buenaventura,Audifarma,598.693
Buenaventura,San_Francisco,472.35
Buenaventura,San_Jose,251.82
Buenaventura,Envigado,456.149
Buenaventura,Punto_Azul,587.879
Disinter,Cartagena,1050.335
Disinter,Buenaventura,502.832
Disinter,Disinter,0
Disinter,Quimifast,433.386
Disinter,Alcampo,432.427
Disinter,Reprefarco,458.433
Disinter,Aeropuerto,14.163
Disinter,Yumbo,453.505
Disinter,Cartago,341.313
Disinter,Ibague,197.746
Disinter,Cafam,559.337
Disinter,Disfarma,430.256
Disinter,Cruz_Verde,360.858
Disinter,Salud_Vida,844.32
Disinter,Audifarma,11.679
Disinter,San_Francisco,561.981
Disinter,San_Jose,584.663
Disinter,Envigado,429.734
Disinter,Punto_Azul,22.655
Quimifast,Cartagena,649.82
Quimifast,Buenaventura,457.429
Quimifast,Disinter,431.407
Quimifast,Quimifast,0
Quimifast,Alcampo,392.76
Quimifast,Reprefarco,413.03
Quimifast,Aeropuerto,430.86
Quimifast,Yumbo,408.103
Quimifast,Cartago,233.873
Quimifast,Ibague,424.798
Quimifast,Cafam,590.752
Quimifast,Disfarma,390.75
Quimifast,Cruz_Verde,629.713
Quimifast,Salud_Vida,756.132
Quimifast,Audifarma,433.666
