x,y,z,w
Excipiente,Comprimidos,Yumbo,0.55
Excipiente,Tabletas,Yumbo,0
Excipiente,Capsulas,Yumbo,0.6
Analgesicos,Comprimidos,Yumbo,0.45
Analgesicos,Tabletas,Yumbo,0
Analgesicos,Capsulas,Yumbo,0
Antibioticos,Comprimidos,Yumbo,0
Antibioticos,Tabletas,Yumbo,0
Antibioticos,Capsulas,Yumbo,0.25
Anestesicos,Comprimidos,Yumbo,0
Anestesicos,Tabletas,Yumbo,0
Anestesicos,Capsulas,Yumbo,0.15
Excipiente,Comprimidos,Cartago,0.6
Excipiente,Tabletas,Cartago,0.7
Excipiente,Capsulas,Cartago,0.6
Analgesicos,Comprimidos,Cartago,0.4
Analgesicos,Tabletas,Cartago,0.2
Analgesicos,Capsulas,Cartago,0
Antibioticos,Comprimidos,Cartago,0
Antibioticos,Tabletas,Cartago,0.1
Antibioticos,Capsulas,Cartago,0.3
Anestesicos,Comprimidos,Cartago,0
Anestesicos,Tabletas,Cartago,0
Anestesicos,Capsulas,Cartago,0.1
Excipiente,Comprimidos,Ibague,0.7
Excipiente,Tabletas,Ibague,0.6
Excipiente,Capsulas,Ibague,0.55
Analgesicos,Comprimidos,Ibague,0.3
Analgesicos,Tabletas,Ibague,0.3
Analgesicos,Capsulas,Ibague,0
Antibioticos,Comprimidos,Ibague,0
Antibioticos,Tabletas,Ibague,0.1
Antibioticos,Capsulas,Ibague,0.35
Anestesicos,Comprimidos,Ibague,0
Anestesicos,Tabletas,Ibague,0
Anestesicos,Capsulas,Ibague,0.1
