a,b,c
Cart,Cart,0
Cart,Bue,1106.367
Cart,Dis,1027.388
Cart,Qui,651.853
Cart,Alc,670.756
Cart,Rep,1061.967
Cart,Pha,1191.587
Cart,Fár,174.166
Cart,Pas,230.173
Cart,Lab,837.388
Cart,Fab,1522.016
Cart,Mul,1212.771
Cart,Aer,1026.84
Cart,Tun,942.385
Cart,Med,640.469
Cart,Yum,1057.04
Cart,Car,882.81
Cart,Iba,1020.778
Cart,OliM,291.702
Cart,Caf,754.954
Cart,Dis,673.061
Cart,Cru,1141.879
Cart,Col,645.911
Cart,OliB,122.554
Cart,San,1137.849
Cart,SurR,657.566
Cart,SurP,856.649
Cart,Com,1026.841
Cart,Sal,370.646
Cart,Aud,1029.647
Cart,SanF,870.823
Cart,UnivSJ,1188.198
Cart,JosM,1529.366
Cart,RegD,976.803
Cart,UnivDN,1435.218
Cart,Fed,1018.451
Cart,Env,651.604
Cart,Bog,1031.195
Cart,Hui,1333.662
Cart,Azu,1018.681
Cart,Eco,836.784
Cart,Pro,1082.206
Bue,Cart,1104.405
Bue,Bue,0
Bue,Dis,596.586
Bue,Qui,455.149
Bue,Alc,810.438
Bue,Rep,117.431
Bue,Pha,255.209
Bue,Fár,932.754
Bue,Pas,1264.903
Bue,Lab,304.999
Bue,Fab,585.637
Bue,Mul,466.704
Bue,Aer,598.216
Bue,Tun,727.085
Bue,Med,465.325
Bue,Yum,121.536
Bue,Car,226.386
Bue,Iba,536.903
Bue,OliM,869.807
Bue,Caf,1008.43
Bue,Dis,808.428
Bue,Cru,938.328
Bue,Col,462.38
Bue,OliB,1169.597
Bue,San,708.185
Bue,SurR,499.345
Bue,SurP,251.983
Bue,Com,596.039
Bue,Sal,1173.81
Bue,Aud,598.693
Bue,SanF,472.35
Bue,UnivSJ,251.82
Bue,JosM,526.67
Bue,RegD,773.253
Bue,UnivDN,498.84
Bue,Fed,534.575
Bue,Env,456.149
Bue,Bog,602.235
Bue,Hui,349.514
Bue,Azu,587.879
Bue,Eco,304.395
Bue,Pro,138.777
Dis,Cart,1050.335
Dis,Bue,502.832
Dis,Dis,0
Dis,Qui,433.386
Dis,Alc,432.427
Dis,Rep,458.433
Dis,Pha,588.052
Dis,Fár,857.962
Dis,Pas,935.413
Dis,Lab,296.065
Dis,Fab,852.654
Dis,Mul,311.757
Dis,Aer,14.163
Dis,Tun,149.615
Dis,Med,422.002
Dis,Yum,453.505
Dis,Car,341.313
Dis,Iba,197.746
Dis,OliM,795.014
Dis,Caf,559.337
Dis,Dis,430.256
Dis,Cru,360.858
Dis,Col,425.035
Dis,OliB,980.974
Dis,San,114.975
Dis,SurR,379.589
Dis,SurP,319.124
Dis,Com,8.27
Dis,Sal,844.32
Dis,Aud,11.679
Dis,SanF,561.981
Dis,UnivSJ,584.663
Dis,JosM,628.352
Dis,RegD,195.782
Dis,UnivDN,771.379
Dis,Fed,194.36
Dis,Env,429.734
Dis,Bog,6.762
Dis,Hui,432.648
Dis,Azu,22.655
Dis,Eco,295.339
Dis,Pro,478.671
Qui,Cart,649.82
Qui,Bue,457.429
Qui,Dis,431.407
Qui,Qui,0
Qui,Alc,392.76
Qui,Rep,413.03
Qui,Pha,542.65
Qui,Fár,478.169
Qui,Pas,847.225
Qui,Lab,188.45
Qui,Fab,873.078
Qui,Mul,616.79
Qui,Aer,430.86
Qui,Tun,430.219
Qui,Med,10.739
Qui,Yum,408.103
Qui,Car,233.873
Qui,Iba,424.798
Qui,OliM,415.222
Qui,Caf,590.752
Qui,Dis,390.75
Qui,Cru,629.713
Qui,Col,7.793
Qui,OliB,715.012
Qui,San,541.868
Qui,SurR,44.758
Qui,SurP,207.712
Qui,Com,430.86
Qui,Sal,756.132
Qui,Aud,433.666
Qui,SanF,221.886
Qui,UnivSJ,539.261
Qui,JosM,933.386
Qui,RegD,464.637
Qui,UnivDN,786.281
Qui,Fed,422.47
Qui,Env,1.953
Qui,Bog,435.214
Qui,Hui,737.681
Qui,Azu,422.7
Qui,Eco,187.846
Qui,Pro,433.269
Alc,Cart,661.69
Alc,Bue,811.087
Alc,Dis,433.445
Alc,Qui,393.842
Alc,Alc,0
Alc,Rep,766.688
Alc,Pha,896.308
Alc,Fár,610.203
Alc,Pas,546.768
Alc,Lab,509.411
Alc,Fab,1226.736
Alc,Mul,702.633
Alc,Aer,446.265
Alc,Tun,284.123
Alc,Med,382.458
Alc,Yum,761.761
Alc,Car,587.531
Alc,Iba,510.64
Alc,OliM,727.53
Alc,Caf,200.354
Alc,Dis,2.372
Alc,Cru,483.617
Alc,Col,387.9
Alc,OliB,592.329
Alc,San,547.338
Alc,SurR,399.555
Alc,SurP,561.37
Alc,Com,438.354
Alc,Sal,455.675
Alc,Aud,440.792
Alc,SanF,612.812
Alc,UnivSJ,892.919
Alc,JosM,1019.228
Alc,RegD,318.541
Alc,UnivDN,1139.938
Alc,Fed,508.313
Alc,Env,393.593
Alc,Bog,438.864
Alc,Hui,823.524
Alc,Azu,391.05
Alc,Eco,508.685
Alc,Pro,786.927
Rep,Cart,1058.076
Rep,Bue,118.086
Rep,Dis,550.257
Rep,Qui,408.82
Rep,Alc,764.109
Rep,Rep,0
Rep,Pha,141.23
Rep,Fár,886.426
Rep,Pas,1218.574
Rep,Lab,258.67
Rep,Fab,471.659
Rep,Mul,312.612
Rep,Aer,551.888
Rep,Tun,680.757
Rep,Med,418.996
Rep,Yum,4.939
Rep,Car,180.057
Rep,Iba,490.574
Rep,OliM,823.478
Rep,Caf,962.101
Rep,Dis,762.099
Rep,Cru,891.999
Rep,Col,416.051
Rep,OliB,1123.268
Rep,San,661.856
Rep,SurR,453.016
Rep,SurP,205.654
Rep,Com,549.71
Rep,Sal,1127.481
Rep,Aud,552.364
Rep,SanF,426.022
Rep,UnivSJ,137.841
Rep,JosM,412.691
Rep,RegD,726.924
Rep,UnivDN,384.861
Rep,Fed,488.246
Rep,Env,409.82
Rep,Bog,555.906
Rep,Hui,195.422
Rep,Azu,541.55
Rep,Eco,258.066
Rep,Pro,24.798
Pha,Cart,1187.789
Pha,Bue,253.29
Pha,Dis,580.685
Pha,Qui,538.533
Pha,Alc,893.822
Pha,Rep,141.894
Pha,Pha,0
Pha,Fár,1016.138
Pha,Pas,1348.287
Pha,Lab,388.383
Pha,Fab,334.073
Pha,Mul,267.2
Pha,Aer,580.909
Pha,Tun,727.699
Pha,Med,548.709
Pha,Yum,145.271
Pha,Car,309.77
Pha,Iba,479.497
