a,b,c
0,0,0
0,1,24.21895316
0,2,21.36071047
0,3,34.08473451
0,4,17.9334995
0,5,16.69014967
0,6,31.4376314
0,7,15.97801665
0,8,15.97801665
0,9,33.84182557
0,10,27.10492087
0,11,0
0,12,29.41796429
0,13,33.40107214
0,14,31.41051834
0,15,19.04151174
0,16,31.06523951
0,17,15.93531925
0,18,13.3966915
0,19,21.07171981
0,20,9.252992998
0,21,15.51788485
0,22,28.22681232
0,23,13.76720773
0,24,13.76720773
0,25,21.5227992
0,26,22.37148201
0,27,17.00187647
0,28,15.5442844
0,29,33.9353571
0,30,29.86498052
0,31,18.31597953
0,32,36.66989494
0,33,8.780934097
0,34,41.42365484
0,35,33.40107214
0,36,15.07856441
0,37,26.31373676
0,38,9.341235824
0,39,34.29361068
0,40,33.04174366
0,41,15.51788485
0,42,23.10817294
0,43,0.874767653
0,44,23.29980028
0,45,13.74783766
0,46,21.17658673
0,47,17.93802307
0,48,37.27901526
0,49,23.29980028
0,50,22.56706391
0,51,46.47269324
0,52,22.00887112
0,53,20.22578022
0,54,22.16519008
0,55,10.69141552
0,56,17.29639523
0,57,28.59471779
0,58,22.21096376
0,59,40.33110981
0,60,0.874767653
0,61,23.29980028
0,62,36.44364689
0,63,22.16519008
0,64,22.16519008
0,65,36.44364689
0,66,17.9334995
0,67,31.41051834
0,68,36.44364689
0,69,18.63521652
0,70,13.74783766
0,71,31.41051834
0,72,9.302605922
0,73,16.59510483
0,74,30.8858415
0,75,29.1970838
0,76,9.255684499
0,77,28.71536197
0,78,16.86090733
0,79,28.71536197
0,80,20.18423373
0,81,29.85257995
0,82,10.76600705
0,83,21.92670554
0,84,21.43896051
0,85,30.15490938
0,86,30.15490938
0,87,26.72635751
0,88,36.44364689
0,89,33.48617765
0,90,16.08873791
0,91,23.29980028
0,92,12.68108242
0,93,12.68108242
0,94,24.97666408
0,95,19.5424816
0,96,11.43941868
0,97,15.97801665
0,98,41.26021239
0,99,31.41051834
0,100,22.37148201
0,101,15.85685733
0,102,31.5138293
0,103,36.82541634
0,104,9.341235824
0,105,40.33110981
0,106,22.37148201
0,107,13.74783766
0,108,22.37148201
1,0,24.21895316
1,1,0
1,2,6.165936927
1,3,10.87000516
1,4,13.13089824
1,5,17.31478469
1,6,8.331516333
1,7,20.45944992
1,8,20.45944992
1,9,11.35994232
1,10,8.828700991
1,11,24.21895316
1,12,7.397759295
1,13,55.91850508
1,14,20.09569956
1,15,9.515975557
1,16,19.2776503
1,17,9.065088677
